dominio,campo,procedencia,filas,semilla
ventas,fecha,REAL,4713306,42
ventas,id_tienda,REAL,4713306,42
ventas,sku,REAL,4713306,42
ventas,categoria,REAL,4713306,42
ventas,unidades_vendidas,REAL,4713306,42
ventas,precio_unitario,SINTETICO,4713306,42
ventas,ingreso,DERIVADO,4713306,42
ventas,en_promocion,REAL,4713306,42
ventas,descuento_pct,SINTETICO,4713306,42
ventas,metodo_pago,SINTETICO,4713306,42
ventas,canal_venta,DERIVADO,4713306,42
ventas,es_fin_de_semana,DERIVADO,4713306,42
ventas,dias_a_proximo_feriado,DERIVADO,4713306,42
almacen,fecha,REAL,4713306,42
almacen,id_tienda,REAL,4713306,42
almacen,sku,REAL,4713306,42
almacen,categoria,REAL,4713306,42
almacen,stock_actual,DERIVADO,4713306,42
almacen,stock_minimo,DERIVADO,4713306,42
almacen,stock_maximo,DERIVADO,4713306,42
almacen,demanda_dia,REAL,4713306,42
almacen,demanda_diaria_promedio,DERIVADO,4713306,42
almacen,dias_de_cobertura,DERIVADO,4713306,42
almacen,rotacion,DERIVADO,4713306,42
almacen,tiempo_reposicion_dias,SINTETICO,4713306,42
almacen,zona_almacen,DERIVADO,4713306,42
compras,fecha_orden,DERIVADO,128209,42
compras,id_proveedor,SINTETICO,128209,42
compras,sku,REAL,128209,42
compras,categoria,REAL,128209,42
compras,cantidad_pedida,DERIVADO,128209,42
compras,precio_unitario_compra,SINTETICO,128209,42
compras,costo_total,DERIVADO,128209,42
compras,lead_time_dias,SINTETICO,128209,42
compras,cantidad_recibida,SINTETICO,128209,42
compras,cumplimiento,DERIVADO,128209,42
compras,metodo_pago,SINTETICO,128209,42
compras,descuento_volumen,SINTETICO,128209,42
