family,filas,ventas_total,media_sales
GROCERY I,90936,3.4346272e+08,3776.972
BEVERAGES,90936,2.1695448e+08,2385.793
PRODUCE,90936,1.2270469e+08,1349.3522
CLEANING,90936,9.752129e+07,1072.4167
DAIRY,90936,6.4487708e+07,709.1549
BREAD/BAKERY,90936,4.2133944e+07,463.33624
POULTRY,90936,3.1876004e+07,350.5323
MEATS,90936,3.1086468e+07,341.84998
PERSONAL CARE,90936,2.4592052e+07,270.43253
DELI,90936,2.4110322e+07,265.13507
HOME CARE,90936,1.6022744e+07,176.19803
EGGS,90936,1.5588296e+07,171.42052
FROZEN FOODS,90936,1.4073888e+07,154.76695
PREPARED FOODS,90936,8.799895e+06,96.7702
"LIQUOR,WINE,BEER",90936,7.74664e+06,85.18783
SEAFOOD,90936,2.0154319e+06,22.16319
GROCERY II,90936,1.962767e+06,21.584047
HOME AND KITCHEN I,90936,1.861491e+06,20.470343
HOME AND KITCHEN II,90936,1.52067e+06,16.72242
CELEBRATION,90936,761177.0,8.370469
LINGERIE,90936,653114.0,7.182128
LADIESWEAR,90936,651159.0,7.1606293
PLAYERS AND ELECTRONICS,90936,562608.0,6.1868567
AUTOMOTIVE,90936,554822.0,6.101236
LAWN AND GARDEN,90936,548842.0,6.0354757
PET SUPPLIES,90936,356584.0,3.9212632
BEAUTY,90936,337893.0,3.715723
SCHOOL AND OFFICE SUPPLIES,90936,269316.0,2.9615993
MAGAZINES,90936,266359.0,2.929082
HARDWARE,90936,103470.0,1.1378332
HOME APPLIANCES,90936,41601.0,0.45747557
BABY CARE,90936,10051.0,0.11052828
BOOKS,90936,6438.0,0.07079704
