date,sales_total,year,month,dayofweek,is_month_end,is_payday
2013-01-01,2511.619,2013,1,1,False,False
2013-01-02,496092.4,2013,1,2,False,False
2013-01-03,361461.22,2013,1,3,False,False
2013-01-04,354459.7,2013,1,4,False,False
2013-01-05,477350.12,2013,1,5,False,False
2013-01-06,519695.4,2013,1,6,False,False
2013-01-07,336122.8,2013,1,0,False,False
2013-01-08,318347.78,2013,1,1,False,False
2013-01-09,302530.8,2013,1,2,False,False
2013-01-10,258982.0,2013,1,3,False,False
2013-01-11,289737.7,2013,1,4,False,False
2013-01-12,403258.22,2013,1,5,False,False
2013-01-13,464638.56,2013,1,6,False,False
2013-01-14,293348.38,2013,1,0,False,False
2013-01-15,299129.56,2013,1,1,False,True
2013-01-16,318347.9,2013,1,2,False,False
2013-01-17,267498.53,2013,1,3,False,False
2013-01-18,296130.84,2013,1,4,False,False
2013-01-19,432459.84,2013,1,5,False,False
2013-01-20,461092.38,2013,1,6,False,False
2013-01-21,311211.28,2013,1,0,False,False
2013-01-22,296214.72,2013,1,1,False,False
2013-01-23,283258.47,2013,1,2,False,False
2013-01-24,247245.69,2013,1,3,False,False
2013-01-25,290022.78,2013,1,4,False,False
2013-01-26,413799.78,2013,1,5,False,False
2013-01-27,430412.0,2013,1,6,False,False
2013-01-28,285460.16,2013,1,0,False,False
2013-01-29,264488.8,2013,1,1,False,False
2013-01-30,281061.12,2013,1,2,False,False
2013-01-31,271254.22,2013,1,3,True,True
2013-02-01,369402.06,2013,2,4,False,False
2013-02-02,518887.47,2013,2,5,False,False
2013-02-03,486336.8,2013,2,6,False,False
2013-02-04,344308.72,2013,2,0,False,False
2013-02-05,321245.84,2013,2,1,False,False
2013-02-06,321538.2,2013,2,2,False,False
2013-02-07,290807.53,2013,2,3,False,False
2013-02-08,347441.78,2013,2,4,False,False
2013-02-09,416176.28,2013,2,5,False,False
2013-02-10,300951.34,2013,2,6,False,False
2013-02-11,278627.6,2013,2,0,False,False
2013-02-12,308800.78,2013,2,1,False,False
2013-02-13,319597.94,2013,2,2,False,False
2013-02-14,308164.03,2013,2,3,False,False
2013-02-15,320168.88,2013,2,4,False,True
2013-02-16,485660.5,2013,2,5,False,False
2013-02-17,399588.9,2013,2,6,False,False
2013-02-18,350745.56,2013,2,0,False,False
2013-02-19,293637.8,2013,2,1,False,False
2013-02-20,313803.16,2013,2,2,False,False
2013-02-21,267711.1,2013,2,3,False,False
2013-02-22,285679.88,2013,2,4,False,False
2013-02-23,412897.34,2013,2,5,False,False
2013-02-24,452726.12,2013,2,6,False,False
2013-02-25,307110.88,2013,2,0,False,False
2013-02-26,270425.0,2013,2,1,False,False
2013-02-27,288402.0,2013,2,2,False,False
2013-02-28,278116.28,2013,2,3,True,True
2013-03-01,378898.16,2013,3,4,False,False
2013-03-02,547857.2,2013,3,5,False,False
2013-03-03,559820.56,2013,3,6,False,False
2013-03-04,383647.7,2013,3,0,False,False
2013-03-05,332190.0,2013,3,1,False,False
2013-03-06,335726.6,2013,3,2,False,False
2013-03-07,293099.53,2013,3,3,False,False
2013-03-08,316600.7,2013,3,4,False,False
2013-03-09,453259.5,2013,3,5,False,False
2013-03-10,461859.75,2013,3,6,False,False
2013-03-11,318379.12,2013,3,0,False,False
2013-03-12,271823.38,2013,3,1,False,False
2013-03-13,287869.66,2013,3,2,False,False
2013-03-14,247541.42,2013,3,3,False,False
2013-03-15,315878.1,2013,3,4,False,True
2013-03-16,482233.44,2013,3,5,False,False
2013-03-17,513439.6,2013,3,6,False,False
2013-03-18,330283.8,2013,3,0,False,False
2013-03-19,294020.25,2013,3,1,False,False
2013-03-20,321207.0,2013,3,2,False,False
2013-03-21,269130.12,2013,3,3,False,False
2013-03-22,304100.47,2013,3,4,False,False
2013-03-23,453192.0,2013,3,5,False,False
2013-03-24,449794.62,2013,3,6,False,False
2013-03-25,317559.62,2013,3,0,False,False
2013-03-26,275818.25,2013,3,1,False,False
2013-03-27,313691.16,2013,3,2,False,False
2013-03-28,339293.28,2013,3,3,False,False
2013-03-29,345513.12,2013,3,4,False,False
2013-03-30,452661.34,2013,3,5,False,False
2013-03-31,462107.62,2013,3,6,True,True
2013-04-01,428816.44,2013,4,0,False,False
2013-04-02,377732.8,2013,4,1,False,False
2013-04-03,373731.06,2013,4,2,False,False
2013-04-04,308738.38,2013,4,3,False,False
2013-04-05,336394.78,2013,4,4,False,False
2013-04-06,509424.22,2013,4,5,False,False
2013-04-07,519048.38,2013,4,6,False,False
2013-04-08,346649.8,2013,4,0,False,False
2013-04-09,306335.8,2013,4,1,False,False
2013-04-10,312846.38,2013,4,2,False,False
2013-04-11,303223.4,2013,4,3,False,False
2013-04-12,314394.97,2013,4,4,False,False
2013-04-13,453442.5,2013,4,5,False,False
2013-04-14,478417.16,2013,4,6,False,False
2013-04-15,338712.47,2013,4,0,False,True
2013-04-16,333431.88,2013,4,1,False,False
2013-04-17,334990.53,2013,4,2,False,False
2013-04-18,281924.5,2013,4,3,False,False
2013-04-19,311588.72,2013,4,4,False,False
2013-04-20,459884.84,2013,4,5,False,False
2013-04-21,485721.03,2013,4,6,False,False
2013-04-22,328886.3,2013,4,0,False,False
2013-04-23,302097.84,2013,4,1,False,False
2013-04-24,310555.2,2013,4,2,False,False
2013-04-25,268790.62,2013,4,3,False,False
2013-04-26,304413.56,2013,4,4,False,False
2013-04-27,446665.34,2013,4,5,False,False
2013-04-28,477623.47,2013,4,6,False,False
2013-04-29,328795.88,2013,4,0,False,False
2013-04-30,310186.47,2013,4,1,True,True
2013-05-01,507974.62,2013,5,2,False,False
2013-05-02,348709.47,2013,5,3,False,False
2013-05-03,374291.25,2013,5,4,False,False
2013-05-04,520339.53,2013,5,5,False,False
2013-05-05,580268.56,2013,5,6,False,False
2013-05-06,369869.38,2013,5,0,False,False
2013-05-07,317292.97,2013,5,1,False,False
2013-05-08,332477.4,2013,5,2,False,False
2013-05-09,305868.06,2013,5,3,False,False
2013-05-10,335937.44,2013,5,4,False,False
2013-05-11,512090.6,2013,5,5,False,False
2013-05-12,387860.5,2013,5,6,False,False
2013-05-13,350598.06,2013,5,0,False,False
2013-05-14,308469.3,2013,5,1,False,False
2013-05-15,329113.56,2013,5,2,False,True
2013-05-16,307556.94,2013,5,3,False,False
2013-05-17,330004.25,2013,5,4,False,False
2013-05-18,480969.56,2013,5,5,False,False
2013-05-19,518153.56,2013,5,6,False,False
2013-05-20,341787.22,2013,5,0,False,False
2013-05-21,307178.4,2013,5,1,False,False
2013-05-22,301785.47,2013,5,2,False,False
2013-05-23,289261.06,2013,5,3,False,False
2013-05-24,398389.25,2013,5,4,False,False
2013-05-25,417930.16,2013,5,5,False,False
2013-05-26,450631.4,2013,5,6,False,False
2013-05-27,321630.84,2013,5,0,False,False
2013-05-28,307329.16,2013,5,1,False,False
2013-05-29,309333.38,2013,5,2,False,False
2013-05-30,304344.84,2013,5,3,False,False
2013-05-31,330257.84,2013,5,4,True,True
2013-06-01,566901.8,2013,6,5,False,False
2013-06-02,637698.5,2013,6,6,False,False
2013-06-03,426332.1,2013,6,0,False,False
2013-06-04,369705.16,2013,6,1,False,False
