family,n,WAPE,MAE
PRODUCE,864.0,9.929237514384987,227.25548107135162
DAIRY,864.0,10.414305701224642,86.91051501130563
BREAD/BAKERY,864.0,11.438975445431245,61.80164655715047
GROCERY I,864.0,11.840986102394494,545.5093645173301
DELI,864.0,12.559677311427656,38.071944322049646
POULTRY,864.0,13.101532733056942,49.06406488994315
MEATS,864.0,13.837735744992722,51.42232832108712
PERSONAL CARE,864.0,14.643820901335761,47.055308340957744
BEVERAGES,864.0,16.434963913545385,571.6869860013505
FROZEN FOODS,864.0,17.67833278134697,22.51003315794679
EGGS,864.0,17.71037162851466,35.365193364537106
PREPARED FOODS,864.0,17.878175440661476,15.69961552559097
HOME CARE,864.0,20.29557819040991,59.170301818482905
SEAFOOD,864.0,22.99156950173411,4.593236054887115
CLEANING,864.0,23.992723776137392,295.8111233039806
"LIQUOR,WINE,BEER",864.0,27.49358564334676,26.758832295540188
LAWN AND GARDEN,864.0,29.41567811633573,4.394647837102565
PLAYERS AND ELECTRONICS,864.0,29.727798203811766,3.46961941073192
PET SUPPLIES,864.0,31.750822800728457,2.676403269186405
HOME AND KITCHEN II,864.0,33.86315224547735,10.499536869260332
HOME AND KITCHEN I,864.0,36.14043863158715,11.302252914646816
BEAUTY,864.0,36.25077675098013,2.4154597425392663
GROCERY II,864.0,38.1374539186063,11.048826493479565
LADIESWEAR,864.0,38.382530750133355,3.8697942750510608
AUTOMOTIVE,864.0,38.50288590756597,2.8435985529650285
CELEBRATION,864.0,39.118485404552466,4.875322347641446
MAGAZINES,864.0,40.355633534147145,2.87066809838968
LINGERIE,864.0,50.293580440149775,3.909394516620902
SCHOOL AND OFFICE SUPPLIES,864.0,73.4815231200162,44.05064224538472
HARDWARE,864.0,73.72276642737158,1.068297494989227
BABY CARE,864.0,190.73548239734407,0.3532138562913779
HOME APPLIANCES,864.0,219.43171605068682,0.439371375888528
BOOKS,864.0,1997.6565402526383,0.20808922294298315
