date,sales_total,dcoilwtico,year
2013-01-01,2511.619,93.14,2013
2013-01-02,496092.4,93.14,2013
2013-01-03,361461.22,92.97,2013
2013-01-04,354459.7,93.12,2013
2013-01-05,477350.12,93.12,2013
2013-01-06,519695.4,93.12,2013
2013-01-07,336122.8,93.2,2013
2013-01-08,318347.78,93.21,2013
2013-01-09,302530.8,93.08,2013
2013-01-10,258982.0,93.81,2013
2013-01-11,289737.7,93.6,2013
2013-01-12,403258.22,93.6,2013
2013-01-13,464638.56,93.6,2013
2013-01-14,293348.38,94.27,2013
2013-01-15,299129.56,93.26,2013
2013-01-16,318347.9,94.28,2013
2013-01-17,267498.53,95.49,2013
2013-01-18,296130.84,95.61,2013
2013-01-19,432459.84,95.61,2013
2013-01-20,461092.38,95.61,2013
2013-01-21,311211.28,95.61,2013
2013-01-22,296214.72,96.09,2013
2013-01-23,283258.47,95.06,2013
2013-01-24,247245.69,95.35,2013
2013-01-25,290022.78,95.15,2013
2013-01-26,413799.78,95.15,2013
2013-01-27,430412.0,95.15,2013
2013-01-28,285460.16,95.95,2013
2013-01-29,264488.8,97.62,2013
2013-01-30,281061.12,97.98,2013
2013-01-31,271254.22,97.65,2013
2013-02-01,369402.06,97.46,2013
2013-02-02,518887.47,97.46,2013
2013-02-03,486336.8,97.46,2013
2013-02-04,344308.72,96.21,2013
2013-02-05,321245.84,96.68,2013
2013-02-06,321538.2,96.44,2013
2013-02-07,290807.53,95.84,2013
2013-02-08,347441.78,95.71,2013
2013-02-09,416176.28,95.71,2013
2013-02-10,300951.34,95.71,2013
2013-02-11,278627.6,97.01,2013
2013-02-12,308800.78,97.48,2013
2013-02-13,319597.94,97.03,2013
2013-02-14,308164.03,97.3,2013
2013-02-15,320168.88,95.95,2013
2013-02-16,485660.5,95.95,2013
2013-02-17,399588.9,95.95,2013
2013-02-18,350745.56,95.95,2013
2013-02-19,293637.8,96.69,2013
2013-02-20,313803.16,94.92,2013
2013-02-21,267711.1,92.79,2013
2013-02-22,285679.88,93.12,2013
2013-02-23,412897.34,93.12,2013
2013-02-24,452726.12,93.12,2013
2013-02-25,307110.88,92.74,2013
2013-02-26,270425.0,92.63,2013
2013-02-27,288402.0,92.84,2013
2013-02-28,278116.28,92.03,2013
2013-03-01,378898.16,90.71,2013
2013-03-02,547857.2,90.71,2013
2013-03-03,559820.56,90.71,2013
2013-03-04,383647.7,90.13,2013
2013-03-05,332190.0,90.88,2013
2013-03-06,335726.6,90.47,2013
2013-03-07,293099.53,91.53,2013
2013-03-08,316600.7,92.01,2013
2013-03-09,453259.5,92.01,2013
2013-03-10,461859.75,92.01,2013
2013-03-11,318379.12,92.07,2013
2013-03-12,271823.38,92.44,2013
2013-03-13,287869.66,92.47,2013
2013-03-14,247541.42,93.03,2013
2013-03-15,315878.1,93.49,2013
2013-03-16,482233.44,93.49,2013
2013-03-17,513439.6,93.49,2013
2013-03-18,330283.8,93.71,2013
2013-03-19,294020.25,92.44,2013
2013-03-20,321207.0,93.21,2013
2013-03-21,269130.12,92.46,2013
2013-03-22,304100.47,93.41,2013
2013-03-23,453192.0,93.41,2013
2013-03-24,449794.62,93.41,2013
2013-03-25,317559.62,94.55,2013
2013-03-26,275818.25,95.99,2013
2013-03-27,313691.16,96.53,2013
2013-03-28,339293.28,97.24,2013
2013-03-29,345513.12,97.24,2013
2013-03-30,452661.34,97.24,2013
2013-03-31,462107.62,97.24,2013
2013-04-01,428816.44,97.1,2013
2013-04-02,377732.8,97.23,2013
2013-04-03,373731.06,95.02,2013
2013-04-04,308738.38,93.26,2013
2013-04-05,336394.78,92.76,2013
2013-04-06,509424.22,92.76,2013
2013-04-07,519048.38,92.76,2013
2013-04-08,346649.8,93.36,2013
2013-04-09,306335.8,94.18,2013
2013-04-10,312846.38,94.59,2013
2013-04-11,303223.4,93.44,2013
2013-04-12,314394.97,91.23,2013
2013-04-13,453442.5,91.23,2013
2013-04-14,478417.16,91.23,2013
2013-04-15,338712.47,88.75,2013
2013-04-16,333431.88,88.73,2013
2013-04-17,334990.53,86.65,2013
2013-04-18,281924.5,87.83,2013
2013-04-19,311588.72,88.04,2013
2013-04-20,459884.84,88.04,2013
2013-04-21,485721.03,88.04,2013
2013-04-22,328886.3,88.81,2013
2013-04-23,302097.84,89.21,2013
2013-04-24,310555.2,91.07,2013
2013-04-25,268790.62,93.27,2013
2013-04-26,304413.56,92.63,2013
2013-04-27,446665.34,92.63,2013
2013-04-28,477623.47,92.63,2013
2013-04-29,328795.88,94.09,2013
2013-04-30,310186.47,93.22,2013
2013-05-01,507974.62,90.74,2013
2013-05-02,348709.47,93.7,2013
2013-05-03,374291.25,95.25,2013
2013-05-04,520339.53,95.25,2013
2013-05-05,580268.56,95.25,2013
2013-05-06,369869.38,95.8,2013
2013-05-07,317292.97,95.28,2013
2013-05-08,332477.4,96.24,2013
2013-05-09,305868.06,96.09,2013
2013-05-10,335937.44,95.81,2013
2013-05-11,512090.6,95.81,2013
2013-05-12,387860.5,95.81,2013
2013-05-13,350598.06,94.76,2013
