date,store_nbr,sales_total,transactions
2013-01-01,1,0.0,
2013-01-01,2,0.0,
2013-01-01,3,0.0,
2013-01-01,4,0.0,
2013-01-01,5,0.0,
2013-01-01,6,0.0,
2013-01-01,7,0.0,
2013-01-01,8,0.0,
2013-01-01,9,0.0,
2013-01-01,10,0.0,
2013-01-01,11,0.0,
2013-01-01,12,0.0,
2013-01-01,13,0.0,
2013-01-01,14,0.0,
2013-01-01,15,0.0,
2013-01-01,16,0.0,
2013-01-01,17,0.0,
2013-01-01,18,0.0,
2013-01-01,19,0.0,
2013-01-01,20,0.0,
2013-01-01,21,0.0,
2013-01-01,22,0.0,
2013-01-01,23,0.0,
2013-01-01,24,0.0,
2013-01-01,25,2511.619,770.0
2013-01-01,26,0.0,
2013-01-01,27,0.0,
2013-01-01,28,0.0,
2013-01-01,29,0.0,
2013-01-01,30,0.0,
2013-01-01,31,0.0,
2013-01-01,32,0.0,
2013-01-01,33,0.0,
2013-01-01,34,0.0,
2013-01-01,35,0.0,
2013-01-01,36,0.0,
2013-01-01,37,0.0,
2013-01-01,38,0.0,
2013-01-01,39,0.0,
2013-01-01,40,0.0,
2013-01-01,41,0.0,
2013-01-01,42,0.0,
2013-01-01,43,0.0,
2013-01-01,44,0.0,
2013-01-01,45,0.0,
2013-01-01,46,0.0,
2013-01-01,47,0.0,
2013-01-01,48,0.0,
2013-01-01,49,0.0,
2013-01-01,50,0.0,
2013-01-01,51,0.0,
2013-01-01,52,0.0,
2013-01-01,53,0.0,
2013-01-01,54,0.0,
2013-01-02,1,7417.148,2111.0
2013-01-02,2,10266.719,2358.0
2013-01-02,3,24060.348,3487.0
2013-01-02,4,10200.084,1922.0
2013-01-02,5,10598.619,1903.0
2013-01-02,6,13520.485,2143.0
2013-01-02,7,11997.502,1874.0
2013-01-02,8,14659.328,3250.0
2013-01-02,9,15867.483,2940.0
2013-01-02,10,5430.088,1293.0
2013-01-02,11,18329.639,3547.0
2013-01-02,12,5854.517,1362.0
2013-01-02,13,5516.831,1102.0
2013-01-02,14,7698.253,2002.0
2013-01-02,15,6577.805,1622.0
2013-01-02,16,6242.572,1167.0
2013-01-02,17,7673.513,1580.0
2013-01-02,18,8204.567,1635.0
2013-01-02,19,5615.389,1369.0
2013-01-02,20,0.0,
2013-01-02,21,0.0,
2013-01-02,22,0.0,
2013-01-02,23,6560.337,1381.0
2013-01-02,24,11018.854,2605.0
2013-01-02,25,5316.224,1038.0
2013-01-02,26,5653.413,1008.0
2013-01-02,27,7207.547,1386.0
2013-01-02,28,5176.474,950.0
2013-01-02,29,0.0,
2013-01-02,30,2623.009,708.0
2013-01-02,31,6637.56,1401.0
2013-01-02,32,2441.508,776.0
2013-01-02,33,5720.771,1163.0
2013-01-02,34,7749.6934,2724.0
2013-01-02,35,2978.224,786.0
2013-01-02,36,0.0,
2013-01-02,37,11111.839,1691.0
2013-01-02,38,9198.507,1987.0
2013-01-02,39,9956.371,1587.0
2013-01-02,40,4965.014,1178.0
2013-01-02,41,5205.833,915.0
2013-01-02,42,0.0,
2013-01-02,43,6054.335,1385.0
2013-01-02,44,30095.182,4821.0
2013-01-02,45,27612.05,4208.0
2013-01-02,46,27149.92,4886.0
2013-01-02,47,27263.111,4161.0
2013-01-02,48,19700.0,3397.0
2013-01-02,49,16281.845,2346.0
2013-01-02,50,16576.133,3077.0
2013-01-02,51,15134.491,1985.0
2013-01-02,52,0.0,
2013-01-02,53,0.0,
2013-01-02,54,4973.285,998.0
2013-01-03,1,5873.244,1833.0
2013-01-03,2,7612.54,2033.0
2013-01-03,3,18570.746,3026.0
2013-01-03,4,7400.245,1551.0
2013-01-03,5,7770.9683,1740.0
2013-01-03,6,9929.393,1795.0
2013-01-03,7,9277.958,1568.0
2013-01-03,8,10781.243,2904.0
2013-01-03,9,10431.719,2396.0
2013-01-03,10,4549.53,1157.0
2013-01-03,11,12356.205,2675.0
2013-01-03,12,4460.164,1248.0
2013-01-03,13,4852.439,916.0
2013-01-03,14,6158.576,1823.0
2013-01-03,15,5691.447,1512.0
2013-01-03,16,5316.415,1101.0
2013-01-03,17,5523.241,1339.0
2013-01-03,18,5107.041,1484.0
2013-01-03,19,3783.087,1098.0
2013-01-03,20,0.0,
2013-01-03,21,0.0,
2013-01-03,22,0.0,
2013-01-03,23,4911.204,1181.0
2013-01-03,24,10086.241,2462.0
2013-01-03,25,4442.913,887.0
2013-01-03,26,3477.559,813.0
2013-01-03,27,4387.566,928.0
2013-01-03,28,4142.3037,749.0
2013-01-03,29,0.0,
2013-01-03,30,2538.315,689.0
2013-01-03,31,5437.826,1126.0
2013-01-03,32,2589.699,727.0
2013-01-03,33,5167.402,1168.0
2013-01-03,34,6246.7217,2348.0
2013-01-03,35,2699.277,725.0
2013-01-03,36,0.0,
2013-01-03,37,9335.661,1526.0
2013-01-03,38,7860.617,1746.0
2013-01-03,39,6986.4453,1426.0
2013-01-03,40,4484.828,1171.0
2013-01-03,41,3699.117,809.0
2013-01-03,42,0.0,
2013-01-03,43,5206.779,1334.0
2013-01-03,44,20447.057,3618.0
2013-01-03,45,17377.98,3314.0
2013-01-03,46,15751.355,3438.0
2013-01-03,47,18340.205,3660.0
2013-01-03,48,14350.784,2887.0
